Part,Part,Backspace,Forced100,Time

1,Lesson 29 - Part 2 - Learn Dollar Sign,0,0,180
2,Lesson 29 - Part 3 - Learn Forward Slash,0,0,180
3,Lesson 30 - Part 2 - Learn Percent Sign,0,0,180
4,Lesson 30 - Part 3 - Learn Hyphen,0,0,180
5,Lesson 31 - Part 3 - Learn Number Sign,0,0,180
6,Lesson 31 - Part 4 - Learn Ampersand,0,0,180
7,Lesson 32 - Part 3 - Learn Open Parentheses,0,0,180
8,Lesson 32 - Part 4 - Learn Close Parentheses,0,0,180
9,Lesson 33 - Part 1 - Learn At Symbol,0,0,180
10,Lesson 33 - Part 2 - Learn Asterisk,0,0,180
