Part,Part,Backspace,Forced100,Time

1,Lesson 02 - Part 2 - Learn E,0,0,120
2,Lesson 02 - Part 3 - Learn H,0,0,120
3,Lesson 03 - Part 2 - Learn R,0,0,120
4,Lesson 03 - Part 3 - Learn O,0,0,120
5,Lesson 05 - Part 2 - Learn T,0,0,120
6,Lesson 05 - Part 3 - Learn I,0,0,120
7,Lesson 06 - Part 2 - Learn Left Shift,0,0,120
8,Lesson 06 - Part 3 - Learn Period,0,0,120
9,Lesson 07 - Part 2 - Learn C,0,0,120
10,Lesson 07 - Part 3 - Learn U,0,0,120
11,Lesson 09 - Part 4 - Learn W,0,0,120
12,Lesson 09 - Part 5 - Learn N,0,0,120
13,Lesson 10 - Part 2 - Learn G,0,0,120
14,Lesson 10 - Part 3 - Learn Right Shift,0,0,120
15,Lesson 11 - Part 2 - Learn B,0,0,120
16,Lesson 11 - Part 3 - Learn P,0,0,120
17,Lesson 13 - Part 2 - Learn X,0,0,120
18,Lesson 13 - Part 3 - Learn M,0,0,120
