Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,96,68,0
Day 01 - Part 1 - Learn Spacebar,97,4,104
Day 01 - Part 1 - Learn Spacebar,100,3,0
Day 01 - Part 1 - Learn Spacebar,91,28,0
Day 01 - Part 2 - Learn Home Row,100,63,0
Day 01 - Part 3,64,32,0
Day 01 - Part 4,0,0,0
Day 01 - Part 1 - Learn Spacebar,25,24,0
Day 01 - Part 2 - Learn Home Row,0,0,0
Day 01 - Part 1 - Learn Spacebar,98,43,0
Day 01 - Part 2 - Learn Home Row,100,34,0
Day 01 - Part 3,4,2,0
Day 01 - Part 4,100,16,0
Day 01 - Part 5,100,15,0
Day 01 - Part 6,100,21,0
Day 01 - Part 7,100,31,0
Day 01 - Part 8,83,40,0
Day 01 - Part 9,92,37,0
Day 01 - Part 3,92,19,0
Day 01 - Part 1 - Learn Spacebar,100,36,0
Day 01 - Part 1 - Learn Spacebar,100,36,0
Day 01 - Part 2 - Learn Home Row,100,26,0
Day 01 - Part 3,5,4,0
Day 01 - Part 4,100,12,0
Day 01 - Part 5,100,20,0
Day 01 - Part 6,100,16,0
Day 01 - Part 7,100,18,0
Day 01 - Part 8,100,20,0
Day 01 - Part 9,100,10,0
Day 01 - Part 3,100,10,0
Day 01 - Part 1 - Learn Spacebar,100,36,0
Day 01 - Part 2 - Learn Home Row,100,12,0
Day 01 - Part 3,33,24,0
Day 01 - Part 4,7,12,0
Day 01 - Part 5,10,12,0
Day 01 - Part 6,12,12,0
Day 01 - Part 7,20,36,0
Day 01 - Part 8,30,22,0
Day 01 - Part 9,71,20,0
