Lesson,Accuracy,WPM,IdleTime

testydodad,100.0,6,0
testydodad,100.0,72,0
testydodad - Copy,79.0,-9,0
testydodad,29.0,-234,0
testydodad - Copy,83.0,0,7
testydodad - Copy - Copy,96.0,43,0
testydodad,54.0,-56,0
testydodad,38.0,-113,0
testydodad,67.0,-47,0
testydodad,88.0,12,0
testydodad,21.0,-270,0
testydodad - Copy,79.0,-14,0
testydodad - Copy,100.0,47,0
testydodad - Copy - Copy,54.0,-126,0
testydodad,100.0,57,0
testydodad - Copy,100.0,26,0
testydodad - Copy - Copy,33.0,-172,0
testydodad - Copy - Copy,12.0,-174,0
testydodad,100.0,57,0
testydodad - Copy,21.0,-135,0
testydodad - Copy - Copy,21.0,-154,0
testydodad - Copy - Copy,14.0,-5,47
testydodad,4.0,-97,0
testydodad - Copy,17.0,-115,0
testydodad - Copy - Copy,0.0,-7,50
testydodad,0.0,-9,47
testydodad,0,0,55
testydodad,100.0,9,0
