Lesson,Accuracy,WPM,IdleTime

testydodad,50.0,-115,0
testydodad - Copy,91.7,36,0
testydodad - Copy - Copy,87.5,18,0
testydodad,95.8,36,0
testydodad - Copy,91.7,24,0
testydodad,83.3,0,0
testydodad - Copy,79.2,-14,0
testydodad - Copy - Copy,79.2,-10,0
testydodad,75.0,-28,0
testydodad - Copy,75.0,-28,0
testydodad,79.2,-12,0
testydodad,83.3,0,0
testydodad - Copy,54.2,-72,0
testydodad - Copy - Copy,87.5,14,0
testydodad,91.7,36,0
testydodad - Copy,87.5,18,0
testydodad - Copy - Copy,87.5,18,0
testydodad,83.3,0,0
