Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,100.0,36,0
Day 01 - Part 4,100.0,40,0
Day 01 - Part 5,100.0,28,0
Day 02 - Part 1,100.0,33,0
Day 02 - Part 2 - Learn E,89.6,30,0
Day 02 - Part 3 - Learn H,35.3,-8,0
Day 02 - Part 4,98.7,63,0
Day 02 - Part 5,100.0,24,0
Day 01 - Part 1 - Learn Spacebar,0,0,0
Day 01 - Part 1 - Learn Spacebar,70.6,30,0
Day 01 - Part 4,0.0,-48,0
Day 01 - Part 5,100.0,0,0
Day 02 - Part 1,25.0,0,0
Day 02 - Part 2 - Learn E,0.0,0,0
Day 02 - Part 3 - Learn H,0.0,0,0
Day 02 - Part 4,0.0,0,0
Day 02 - Part 5,25.0,0,0
