name,date,score,time,time_of_day

Zerg Rush,04-27-21,0,21,30099
Zerg Rush,04-27-21,0,21,30555
Zerg Rush,04-27-21,81,53,30827
Zerg Rush,04-27-21,67,44,30905
Zerg Rush,04-27-21,1640,21,30930
Zerg Rush,04-27-21,1484,74,31032
Zerg Rush,04-28-21,221,108,29681
Zerg Rush,04-29-21,328,144,31694
Zerg Rush,04-29-21,8,23,31769
Zerg Rush,05-10-21,12,7,31807
Zerg Rush,05-10-21,27,5,31860
Zerg Rush,05-10-21,0,3,31884
Zerg Rush,05-12-21,0,4,29572
Zerg Rush,09-01-21,2682,112,55700
Zerg Rush,09-01-21,1422,26,55801
Letter Game,11-12-21,690,15,40848
Letter Game,11-12-21,216,6,40870
Zerg Rush,11-12-21,394,104,69978
Zerg Rush,11-12-21,1044,25,70013
Letter Game,11-12-21,1250,78,70173
Letter Game,11-12-21,2840,6,70222
Zerg Rush,07-31-22,2940,113,36432
Letter Game,11-13-22,1990,7,75917
Letter Game,11-13-22,1990,7,76044
Letter Game,11-13-22,1980,7,76069
Letter Game,11-13-22,1990,7,76094
Zerg Rush,11-13-22,40,13,77941
Word Flash,11-21-22,220,10,36097
Word Flash,11-21-22,40,8,36140
Word Flash,11-28-22,840,34,28860
