date,time,lesson,part,accuracy,wpm,idle_time

11-18-22,75653,TestyThingamabob,testydodad,100.0,72,0
11-18-22,75658,TestyThingamabob,testydodad - Copy,100.0,96,0
11-18-22,75664,TestyThingamabob,testydodad - Copy - Copy,100.0,96,0
11-18-22,75670,TestyThingamabob,testydodad,100.0,96,0
11-19-22,50933,TestyThingamabob,testydodad,100.0,72,0
11-19-22,50956,TestyThingamabob,testydodad - Copy,100.0,72,0
11-19-22,50962,TestyThingamabob,testydodad - Copy - Copy,100.0,96,0
11-19-22,50974,TestyThingamabob,testydodad - Copy - Copy,100.0,72,0
11-21-22,42076,TestyThingamabob,testydodad,100.0,41,0
11-21-22,42082,TestyThingamabob,testydodad - Copy,83.3,64,0
