Date,Score,Errors,Letters Left

09/23/2020,16989,11,0
09/23/2020,13080,20,0
09/23/2020,19491,9,0
09/23/2020,1595,5,0
09/24/2020,0,0,100
09/24/2020,20190,10,0
09/24/2020,20589,11,0
10/01/2020,21184,16,0
10/02/2020,19190,10,0
10/02/2020,21684,16,0
10/02/2020,0,8,94
10/02/2020,0,2,99
10/05/2020,20695,5,0
10/05/2020,0,82,77
10/05/2020,4,78,73
10/05/2020,0,85,80
10/05/2020,2,80,75
10/05/2020,2,94,75
10/05/2020,1,99,76
10/05/2020,7,104,70
10/05/2020,20785,15,0
10/05/2020,0,133,100
10/05/2020,1,109,76
