Lesson,Accuracy,WPM,IdleTime

Three Minute File 17,97.0,27,0
Three Minute File 18,98.0,32,0
Three Minute File 20,97.0,29,0
Three Minute File 24,98.0,32,0
Three Minute File 25,98.0,29,0
Three Minute File 26,97.0,28,0
Three Minute File 27,98.0,32,0
Scripture - 3 Min - Novice - Psalm 46,99.0,34,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,98.0,30,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.0,27,0
Three Minute File 17,97.0,33,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,98.0,30,0
Three Minute File 26,97.0,28,0
Three Minute File 26,97.0,28,0
Three Minute File 26,96.0,25,0
