Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 2 - Learn 1,98.2,30,0
Day 27 - Part 3 - Learn 2,98.6,30,0
Day 26 - Part 2 - Learn 3,98.2,33,0
Day 24 - Part 2 - Learn 4,98.2,36,0
Day 25 - Part 2 - Learn 5,98.2,32,0
Day 27 - Part 4 - Learn 6,95.3,21,0
Day 23 - Part 3 - Learn 7,97.9,34,0
Day 24 - Part 3 - Learn 8,97.1,32,0
Day 25 - Part 3 - Learn 9,95.4,23,0
Day 26 - Part 3 - Learn 0,97.1,27,0
Day 28 - Part 5 - Left Hand,97.5,29,0
Day 28 - Part 6 - Right Hand,97.1,28,0
Day 27 - Part 4 - Learn 6,99.6,34,0
Day 25 - Part 3 - Learn 9,100.0,34,0
Day 26 - Part 3 - Learn 0,99.6,36,0
Day 28 - Part 6 - Right Hand,98.6,30,0
Day 24 - Part 3 - Learn 8,99.3,38,0
Day 28 - Part 5 - Left Hand,98.2,32,0
