Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,93.2,26,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.6,44,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,95.0,30,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,98.8,39,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.4,35,0
Scripture - 3 Min - Novice - Psalm 46,97.6,36,0
Scripture - 5 Min - Novice - Isaiah 53,97.4,34,0
Scripture - 5 Min - Novice - John 1 v 1-18,97.3,35,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.1,37,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,99.5,41,0
Scripture - 5 Min - Novice - John 1 v 1-18,98.8,38,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.7,37,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.7,37,0
