Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,96.2,37,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,95.6,36,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.8,40,0
Scripture - 3 Min - Novice - Psalm 23,97.0,35,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.3,39,0
Scripture - 5 Min - Novice - Psalm 51,97.2,36,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.8,40,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.2,30,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.1,33,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.7,43,0
Scripture - 1 Min - Novice - John 3 v 16,97.9,40,0
Scripture - 3 Min - Novice - Psalm 23,98.3,37,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.6,30,0
Scripture - 1 Min - Novice - John 3 v 16,98.7,43,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.4,35,0
