Lesson,Accuracy,WPM,IdleTime

Day 24 - Part 4,100.0,45,0
Day 25 - Part 5,98.1,32,0
Day 26 - Part 1,98.9,44,0
Day 26 - Part 2 - Learn 3,99.6,47,0
Day 26 - Part 3 - Learn 0,99.3,33,0
Day 26 - Part 4,100.0,43,0
Day 26 - Part 5,97.3,29,0
Day 26 - Part 6,97.0,44,0
Day 26 - Part 5,97.8,32,0
Day 26 - Part 6,97.9,47,0
Day 26 - Part 5,97.8,31,0
Day 26 - Part 5,99.2,33,0
Day 25 - Part 5,97.8,33,0
Day 25 - Part 5,98.7,32,0
Day 26 - Part 6,98.2,45,3
Day 25 - Part 5,98.1,32,0
Day 25 - Part 5,99.2,30,0
Day 26 - Part 6,99.7,55,0
