Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,95.4,37,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.1,55,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.2,40,0
Scripture - 3 Min - Novice - Psalm 23,97.5,48,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.4,51,0
Scripture - 5 Min - Novice - Psalm 51,98.0,49,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.4,51,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.9,50,0
Scripture - 1 Min - Novice - John 3 v 16,97.8,56,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.9,50,0
Scripture - 3 Min - Novice - Psalm 23,98.3,53,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,98.6,53,0
