Lesson,Accuracy,WPM,IdleTime

Day 31 - Part 5,97.6,35,0
Day 32 - Part 1,96.2,34,0
Day 32 - Part 2,91.2,18,0
Day 32 - Part 3 - Learn Open Parentheses,95.7,26,0
Day 32 - Part 4 - Learn Close Parentheses,95.8,26,0
Day 32 - Part 5,95.1,19,0
Day 32 - Part 6,97.4,44,0
Day 32 - Part 7,100.0,37,0
Day 32 - Part 8,95.6,27,0
Day 32 - Part 2,97.6,33,0
Day 32 - Part 5,98.1,26,0
Day 32 - Part 8,97.3,33,0
Day 32 - Part 3 - Learn Open Parentheses,96.6,30,0
Day 32 - Part 4 - Learn Close Parentheses,98.9,35,0
Day 32 - Part 1,97.3,37,0
