Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,97.1,51,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.3,61,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,92.9,32,0
Scripture - 3 Min - Novice - Psalm 23,97.8,54,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.3,45,0
Scripture - 5 Min - Novice - Psalm 51,95.7,43,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.5,50,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.2,41,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.7,47,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,96.8,49,0
Scripture - 5 Min - Novice - Psalm 51,97.2,48,0
