Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,97.1,25,0
Day 29 - Part 3 - Learn Forward Slash,97.9,26,0
Day 30 - Part 2 - Learn Percent Sign,98.0,29,0
Day 30 - Part 3 - Learn Hyphen,97.6,29,0
Day 31 - Part 3 - Learn Number Sign,100.0,37,0
Day 31 - Part 4 - Learn Ampersand,98.0,32,0
Day 32 - Part 3 - Learn Open Parentheses,97.9,35,0
Day 32 - Part 4 - Learn Close Parentheses,98.3,34,0
Day 33 - Part 1 - Learn At Symbol,97.9,35,0
Day 33 - Part 2 - Learn Asterisk,99.3,34,0
Day 29 - Part 2 - Learn Dollar Sign,99.2,29,0
Day 30 - Part 3 - Learn Hyphen,98.0,32,0
Day 29 - Part 3 - Learn Forward Slash,99.6,31,2
Day 32 - Part 3 - Learn Open Parentheses,100.0,40,0
Day 33 - Part 1 - Learn At Symbol,98.8,36,0
Day 30 - Part 2 - Learn Percent Sign,98.4,29,1
Day 30 - Part 3 - Learn Hyphen,99.2,34,0
Day 31 - Part 4 - Learn Ampersand,99.2,38,0
