Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,96.5,44,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,96.3,41,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,99.0,57,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,97.7,49,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.9,50,0
Scripture - 3 Min - Novice - Psalm 46,97.7,50,0
Scripture - 5 Min - Novice - Isaiah 53,97.2,46,0
Scripture - 5 Min - Novice - John 1 v 1-18,98.2,52,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.0,52,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.0,53,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,97.2,49,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,97.9,51,0
