Lesson,Accuracy,WPM,IdleTime

Day 20 - Part 1,100.0,53,0
Day 20 - Part 2,100.0,59,0
Day 20 - Part 3,100.0,54,0
Day 20 - Part 4,100.0,54,0
Day 20 - Part 5,100.0,53,0
Day 20 - Part 6,100.0,59,0
Day 20 - Part 7,100.0,55,0
Day 20 - Part 8,100.0,62,0
Day 20 - Part 9,100.0,62,0
Day 20 - Part 1,100.0,59,0
Day 20 - Part 5,100.0,54,0
Day 20 - Part 3,100.0,59,0
Day 20 - Part 4,100.0,66,0
Day 20 - Part 5,100.0,63,0
Day 20 - Part 7,100.0,56,0
Day 20 - Part 7,100.0,61,0
Day 20 - Part 1,100.0,61,0
Day 20 - Part 2,100.0,62,0
Day 20 - Part 3,100.0,60,0
Day 20 - Part 6,98.7,52,0
Day 20 - Part 6,69.7,-60,0
Day 20 - Part 6,100.0,62,0
Day 20 - Part 3,100.0,61,0
Day 20 - Part 1,100.0,65,0
Day 20 - Part 3,99.6,56,0
Day 20 - Part 3,100.0,60,0
Day 20 - Part 3,100.0,64,0
Day 20 - Part 7,100.0,60,0
Day 20 - Part 7,100.0,60,0
Day 20 - Part 7,100.0,71,0
Day 20 - Part 2,100.0,65,0
Day 20 - Part 6,100.0,60,0
Day 20 - Part 6,100.0,58,0
Day 20 - Part 6,100.0,65,0
Day 20 - Part 8,46.5,-201,0
