Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,71,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,66,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,74,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,99.9,66,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,64,0
Scripture - 3 Min - Novice - Psalm 46,100.0,63,0
Scripture - 5 Min - Novice - Isaiah 53,99.9,61,0
Scripture - 5 Min - Novice - John 1 v 1-18,100.0,61,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,67,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.7,67,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,64,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,71,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,39.6,-377,0
