Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,94,37,0
9/23/2020,Review 2                        ,98,41,1
9/24/2020,Review 3                        ,97,42,0
9/28/2020,Evaluate Speed,97,41,13
9/29/2020,Review 5                        ,98,38,61
9/30/2020,Review 6                        ,98,44,3
10/1/2020,Review 7                        ,98,41,0
10/2/2020,Numbers 1 and 7                 ,100,43,6
10/5/2020,Numbers 4 and 8                 ,100,42,1
10/7/2020,Numbers 3 and 0                 ,100,41,3
10/8/2020,Numbers 2 and 6                 ,100,43,2
10/9/2020,Evaluate Speed,95,48,1
10/14/2020,Review Numbers                  ,100,39,1
10/15/2020,Evaluate Speed                  ,98,52,2
10/16/2020,Dollar Sign and Forward Slash   ,98,34,2
10/20/2020,Percent and Hyphen              ,100,34,0
10/22/2020,Open and Close Parentheses      ,98,34,3
10/23/2020,Symbol and Asterisk             ,99,38,2
10/27/2020,Evaluate Speed-05,97,51,1
10/28/2020,Bible Verses 1-1,97,47,4
10/29/2020,All Symbols,99,34,3
10/30/2020,Review 2,97,47,1
11/2/2020,TestyThingamabob,96,30,0
11/2/2020,TestyThingamabob,98,33,0
11/2/2020,Review 5-1,97,44,0
11/3/2020,Bible Verses 2-1,98,51,0
11/4/2020,Evaluate Speed-06,98,56,3
11/5/2020,Bible Verses 1-2 WB,100,58,0
11/6/2020,Build Speed 1-1 WB,100,55,0
11/10/2020,Build Speed 2-1 WB,100,50,0
11/11/2020,Review 5-2 WB,100,55,7
11/12/2020,Bible Verses 2-2 WB,100,60,0
11/13/2020,Evaluate Speed-07 WB,100,64,0
11/16/2020,Bible Verses 1-3 WB,100,60,1
11/17/2020,Build Speed 1-2 WB,100,58,0
11/18/2020,Build Speed 2-2 WB,100,53,0
11/19/2020,Review 5-3 WB,100,56,18
11/20/2020,Bible Verses 2-3 WB,100,62,0
11/23/2020,Evaluate Speed-08 WB,100,65,2
11/30/2020,Bible Verses 1-4 WB,100,60,0
12/1/2020,Build Speed 1-3 WB,100,65,4
12/2/2020,Build Speed 2-3 WB,100,58,3
12/3/2020,Review 5-4 WB,100,57,0
12/4/2020,Bible Verses 2-4 WB,100,59,8
12/7/2020,Evaluate Speed-09 WB,100,66,8
12/8/2020,Bible Verses 1-5 WB,100,63,0
12/10/2020,Build Speed 1-4 WB,100,66,2
12/11/2020,Build Speed 2-4 WB,100,58,26
12/14/2020,Review 5-5 WB,100,59,0
12/15/2020,Bible Verses 2-5 WB,100,66,2
12/16/20,Evaluate Speed-10 WB,100.0,72.0,1
12/17/20,Evaluate Speed-11 WB,100.0,71.0,5
12/18/20,Review 5-5 WB,100.0,60.0,0
