Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,94.3,25,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,96.0,30,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,94.8,29,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,96.0,30,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,94.5,25,0
Scripture - 3 Min - Novice - Psalm 46,96.2,29,0
Scripture - 5 Min - Novice - Isaiah 53,95.4,27,0
Scripture - 5 Min - Novice - John 1 v 1-18,95.1,28,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.9,35,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,95.9,28,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,94.5,27,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,95.0,27,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,96.2,32,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,96.5,31,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.6,40,1
Scripture - 5 Min - Novice - John 1 v 1-18,95.1,30,0
