Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,94.2,27,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.3,37,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,97.0,35,0
Scripture - 3 Min - Novice - Psalm 23,97.1,34,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.1,40,0
Scripture - 5 Min - Novice - Psalm 51,96.4,33,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,96.8,35,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.6,36,0
Scripture - 1 Min - Novice - John 3 v 16,97.8,40,0
Scripture - 1 Min - Novice - John 3 v 16,95.6,29,0
Scripture - 1 Min - Novice - John 3 v 16,97.3,37,0
Scripture - 5 Min - Novice - Psalm 51,95.0,27,0
Scripture - 5 Min - Novice - Psalm 51,97.1,33,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,94.6,28,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.2,29,0
