Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,82,17,2
9/24/2020,Review 3                        ,93,24,0
9/28/2020,Evaluate Speed,85,25,1
10/15/2020,Evaluate Speed,85,33,1
10/27/2020,Evaluate Speed,88,38,0
10/28/2020,Bible Verses 1,88,37,0
10/29/2020,All Symbols,97,22,0
10/30/2020,Review 2,95,29,0
11/02/20,Bible Verses 2-1,96.0,31.0,1
11/03/20,Review 5-1,96.0,29.0,0
11/04/20,Evaluate Speed-06,98.0,36.0,0
11/05/20,Bible Verses 1-2 WB,100.0,39.0,0
11/06/20,Build Speed 1-1 WB,100.0,37.0,0
11/10/20,Build Speed 2-1 WB,100.0,37.0,0
11/11/20,Review 5-2 WB,100.0,39.0,0
11/12/20,Bible Verses 2-2 WB,100.0,41.0,0
11/16/20,Bible Verses 1-3 WB,100.0,42.0,0
11/17/20,Build Speed 1-2 WB,100.0,44.0,9
11/18/20,Build Speed 2-2 WB,100.0,42.0,0
11/19/20,Review 5-3 WB,100.0,39.0,3
11/20/20,Bible Verses 2-3 WB,100.0,41.0,0
11/23/20,Evaluate Speed-08 WB,100.0,38.0,0
11/30/20,Bible Verses 1-4 WB,100.0,43.0,0
12/01/20,Build Speed 1-3 WB,100.0,46.0,0
12/02/20,Build Speed 2-3 WB,100.0,43.0,3
12/03/20,Review 5-4 WB,100.0,40.0,0
12/04/20,Bible Verses 2-4 WB,100.0,44.0,0
12/07/20,Evaluate Speed-09 WB,100.0,46.0,8
12/08/20,Bible Verses 1-5 WB,100.0,47.0,8
12/10/20,Build Speed 1-4 WB,100.0,48.0,5
12/11/20,Build Speed 2-4 WB,100.0,45.0,0
12/14/20,Review 5-5 WB,100.0,43.0,0
12/15/20,Bible Verses 2-5 WB,100.0,47.0,0
12/16/20,Evaluate Speed-10 WB,100.0,49.0,0
12/17/20,Evaluate Speed-11 WB,100.0,45.0,0
12/18/20,Review 5-5 WB,100.0,42.0,0
