Lesson,Accuracy,WPM,IdleTime

Three Minute File 17,96.0,47,0
Three Minute File 18,98.0,59,0
Three Minute File 20,100.0,65,0
Three Minute File 24,99.0,63,0
Three Minute File 25,98.0,60,0
Three Minute File 26,97.0,54,0
Three Minute File 27,97.0,57,0
Scripture - 3 Min - Novice - Psalm 46,99.0,60,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,96.0,49,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.0,53,0
Three Minute File 17,100.0,64,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,100.0,56,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,55,0
Three Minute File 26,99.0,57,0
Three Minute File 27,97.0,52,0
