Lesson,Accuracy,WPM,IdleTime

Day 26 - Part 4,99.5,52,0
Day 27 - Part 1,98.9,47,0
Day 27 - Part 3 - Learn 2,98.9,52,0
Day 27 - Part 4 - Learn 6,92.2,26,0
Day 27 - Part 2,97.3,57,0
Day 27 - Part 5,97.2,34,0
Day 27 - Part 6,96.8,59,0
Day 27 - Part 7,97.3,38,0
Day 27 - Part 4 - Learn 6,99.6,44,0
Day 27 - Part 5,99.2,39,0
Day 27 - Part 7,100.0,48,0
Day 27 - Part 6,100.0,68,0
Day 27 - Part 2,100.0,68,0
Day 27 - Part 5,99.6,43,0
Day 27 - Part 1,100.0,51,0
Day 27 - Part 3 - Learn 2,100.0,56,0
Day 27 - Part 5,100.0,44,0
Day 27 - Part 4 - Learn 6,99.6,49,0
Day 27 - Part 4 - Learn 6,100.0,52,0
Day 26 - Part 4,100.0,51,0
