Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,99.5,72,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,81,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.8,64,0
Scripture - 3 Min - Novice - Psalm 23,98.0,61,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.3,61,0
Scripture - 5 Min - Novice - Psalm 51,98.6,63,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.2,61,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.2,58,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,71,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,40,2
Scripture - 3 Min - Novice - Psalm 23,100.0,43,0
