Lesson,Accuracy,WPM,IdleTime

Day 31 - Part 5,98.4,44,0
Day 32 - Part 1,94.6,33,0
Day 32 - Part 2,97.2,37,0
Day 32 - Part 3 - Learn Open Parentheses,97.4,39,0
Day 32 - Part 4 - Learn Close Parentheses,98.0,41,0
Day 32 - Part 5,95.6,25,0
Day 32 - Part 6,99.3,66,0
Day 32 - Part 7,97.8,41,0
Day 32 - Part 8,95.7,39,0
Day 32 - Part 1,100.0,50,0
Day 32 - Part 5,99.7,32,0
Day 32 - Part 8,10.9,-923,2
Day 32 - Part 5,25.6,-391,0
Day 32 - Part 6,99.9,72,0
Day 31 - Part 5,51.4,-187,0
Day 32 - Part 8,28.1,-455,0
Day 32 - Part 6,79.7,-19,0
