Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,100.0,69,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.8,63,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.1,65,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,99.7,61,0
Scripture - 3 Min - Novice - Psalm 23,98.5,62,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,98.3,62,0
Scripture - 5 Min - Advanced - Selections 1,97.3,53,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,99.1,59,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,83.5,0,0
