Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,100.0,60,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,63,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,99.5,64,0
Scripture - 3 Min - Novice - Psalm 23,99.8,63,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.3,59,0
Scripture - 5 Min - Novice - Psalm 51,99.2,59,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.9,61,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.5,55,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,63,0
Scripture - 3 Min - Novice - Psalm 23,83.0,-1,0
Scripture - 3 Min - Novice - Psalm 23,4.7,-2051,0
Scripture - 3 Min - Novice - Psalm 23,99.7,63,2
Scripture - 3 Min - Novice - Eph 2 v 4-10,92.8,37,0
