Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,99.7,76,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,65,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,70,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,100.0,65,0
Scripture - 3 Min - Novice - Psalm 23,99.8,74,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,100.0,71,0
Scripture - 5 Min - Advanced - Selections 1,100.0,60,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,81,0
Scripture - 3 Min - Novice - Psalm 23,100.0,71,0
Scripture - 1 Min - Novice - John 3 v 16,3.8,-3775,0
Scripture - 1 Min - Novice - John 3 v 16,2.8,-4170,0
Scripture - 1 Min - Novice - John 3 v 16,99.5,79,0
Scripture - 1 Min - Novice - John 3 v 16,20.2,-898,0
Scripture - 1 Min - Novice - John 3 v 16,8.6,-1773,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,81,0
Scripture - 1 Min - Novice - John 3 v 16,3.4,-2395,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,84,0
