Lesson,Accuracy,WPM,IdleTime

Day 22 - Part 1,100.0,71,0
Day 22 - Part 2,100.0,76,0
Day 22 - Part 3,100.0,67,0
Day 22 - Part 4,100.0,74,0
Day 22 - Part 5,100.0,65,0
Day 22 - Part 6,100.0,74,0
Day 22 - Part 7,100.0,76,0
Day 22 - Part 8,100.0,81,0
Day 22 - Part 9,100.0,70,0
Day 22 - Part 5,100.0,69,0
Day 22 - Part 3,100.0,71,0
Day 22 - Part 5,8.2,-2523,0
Day 22 - Part 5,100.0,71,0
Day 22 - Part 9,4.1,-2221,0
Day 22 - Part 9,100.0,77,0
Day 22 - Part 1,7.1,-2439,0
Day 22 - Part 1,20.9,-1165,0
Day 22 - Part 1,1.6,-3660,0
Day 22 - Part 1,12.5,-1761,0
Day 22 - Part 1,19.0,-1201,0
Day 22 - Part 1,4.2,-3544,0
Day 22 - Part 1,9.0,-2080,0
Day 22 - Part 1,5.1,-2918,0
Day 22 - Part 1,8.7,-1857,0
Day 22 - Part 1,12.2,-1592,0
Day 22 - Part 1,100.0,79,0
Day 22 - Part 3,15.1,-1273,0
Day 22 - Part 3,9.6,-1833,0
Day 22 - Part 3,16.4,-1070,0
Day 22 - Part 3,40.5,-416,0
Day 22 - Part 3,15.4,-1267,0
Day 22 - Part 3,3.5,-3573,0
Day 22 - Part 3,100.0,76,0
Day 22 - Part 5,75.8,-44,0
Day 22 - Part 5,7.2,-2556,0
Day 22 - Part 5,91.0,33,0
Day 22 - Part 5,9.2,-2490,0
Day 22 - Part 5,19.1,-1186,0
Day 22 - Part 5,15.0,-1577,0
Day 22 - Part 5,97.7,61,0
Day 22 - Part 5,4.7,-2641,0
Day 22 - Part 5,6.2,-2373,0
Day 22 - Part 5,3.1,-4232,0
Day 22 - Part 5,3.9,-4191,0
Day 22 - Part 5,2.7,-4253,0
Day 22 - Part 5,3.7,-4201,0
Day 22 - Part 5,5.7,-4098,0
Day 22 - Part 5,4.3,-4170,0
Day 22 - Part 5,5.5,-2396,0
Day 22 - Part 5,8.0,-2529,0
Day 22 - Part 5,7.2,-2343,0
Day 22 - Part 5,6.4,-1670,0
Day 22 - Part 5,10.9,-1273,0
Day 22 - Part 5,17.2,-1286,0
Day 22 - Part 6,20.1,-1132,0
Day 22 - Part 5,20.3,-970,0
