Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,99.2,70,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.3,81,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,74,0
Scripture - 3 Min - Novice - Psalm 23,100.0,86,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,79,0
Scripture - 5 Min - Novice - Psalm 51,100.0,76,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,100.0,78,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,100.0,76,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,80,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.5,80,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,85,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,3.3,-4863,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,4.9,-4156,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,75,0
Scripture - 1 Min - Novice - John 3 v 16,5.3,-2338,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,90,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,86,0
