Lesson,Accuracy,WPM,IdleTime

Day 14 - Part 3 - Learn Z,100.0,42,0
Day 14 - Part 4 - Learn Y,100.0,52,0
Day 15 - Part 2 - Learn Q,100.0,42,0
Day 15 - Part 3 - Learn Comma,100.0,57,0
Day 17 - Part 2 - Learn V,100.0,61,0
Day 17 - Part 3 - Learn Colon,100.0,36,0
Day 18 - Part 3 - Learn CAPS LOCKB,98.7,42,0
Day 18 - Part 4 - Learn Question,99.4,35,0
Day 19 - Part 2 - Learn Apostrophe,98.5,42,0
Day 19 - Part 3 - Learn Quotation,99.7,42,0
Day 20 - Part 1,99.6,53,0
Day 20 - Part 2,100.0,53,1
Day 20 - Part 3,99.6,44,0
Day 20 - Part 4,100.0,48,0
Day 20 - Part 5,99.6,43,0
