Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 2 - Learn 1,99.3,35,0
Day 27 - Part 3 - Learn 2,100.0,43,0
Day 26 - Part 2 - Learn 3,99.6,46,0
Day 24 - Part 2 - Learn 4,100.0,45,0
Day 25 - Part 2 - Learn 5,100.0,44,3
Day 27 - Part 4 - Learn 6,100.0,42,0
Day 23 - Part 3 - Learn 7,100.0,50,0
Day 24 - Part 3 - Learn 8,100.0,51,0
Day 25 - Part 3 - Learn 9,99.6,48,0
Day 26 - Part 3 - Learn 0,100.0,42,0
Day 28 - Part 5 - Left Hand,99.1,34,2
Day 28 - Part 6 - Right Hand,98.7,38,0
Day 23 - Part 2 - Learn 1,96.4,41,0
