Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,98.9,50,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.9,51,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,45,0
Scripture - 3 Min - Novice - Psalm 23,99.6,43,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.0,45,0
Scripture - 5 Min - Novice - Psalm 51,99.5,51,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,99.7,47,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,99.7,46,1
Scripture - 1 Min - Novice - John 3 v 16,99.6,51,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.7,61,0
