Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,97.6,27,0
Day 29 - Part 3 - Learn Forward Slash,99.6,33,0
Day 30 - Part 2 - Learn Percent Sign,99.2,32,0
Day 30 - Part 3 - Learn Hyphen,99.2,36,0
Day 31 - Part 3 - Learn Number Sign,100.0,31,0
Day 31 - Part 4 - Learn Ampersand,99.2,37,0
Day 32 - Part 3 - Learn Open Parentheses,99.6,34,0
Day 32 - Part 4 - Learn Close Parentheses,100.0,38,0
Day 33 - Part 1 - Learn At Symbol,97.3,38,0
Day 33 - Part 2 - Learn Asterisk,96.4,28,0
Day 33 - Part 2 - Learn Asterisk,100.0,33,0
Day 33 - Part 1 - Learn At Symbol,100.0,38,0
Day 29 - Part 2 - Learn Dollar Sign,98.4,31,0
Day 29 - Part 2 - Learn Dollar Sign,99.6,35,0
Day 30 - Part 2 - Learn Percent Sign,99.2,33,0
Day 30 - Part 2 - Learn Percent Sign,99.2,36,0
Day 30 - Part 2 - Learn Percent Sign,98.4,40,0
Day 30 - Part 2 - Learn Percent Sign,99.2,38,0
Day 30 - Part 3 - Learn Hyphen,94.9,31,0
Day 32 - Part 3 - Learn Open Parentheses,99.1,45,0
Day 32 - Part 3 - Learn Open Parentheses,97.0,40,0
Day 32 - Part 3 - Learn Open Parentheses,99.6,44,0
