Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.0,53,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,98.0,43,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,97.2,46,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,99.3,48,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,99.8,53,0
Scripture - 3 Min - Novice - Psalm 46,99.9,53,0
Scripture - 5 Min - Novice - Isaiah 53,98.8,50,0
Scripture - 5 Min - Novice - John 1 v 1-18,99.2,49,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,57,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.8,48,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.7,57,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.4,61,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.4,57,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.7,65,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.3,49,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.8,55,0
