Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,72,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,65,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,67,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,66,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,70,0
Scripture - 3 Min - Novice - Psalm 46,100.0,68,0
Scripture - 5 Min - Novice - Isaiah 53,100.0,68,0
Scripture - 5 Min - Novice - John 1 v 1-18,100.0,62,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.7,69,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,70,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,99.7,62,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,66,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,60,0
Scripture - 5 Min - Novice - John 1 v 1-18,100.0,61,0
