Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,97,32,1
9/23/2020,Review 2                        ,98,39,0
9/24/2020,Review 3                        ,98,39,0
9/24/2020,Review 3                        ,98,35,0
9/28/2020,Evaluate Speed,97,41,0
9/29/2020,Review 5                        ,99,35,1
9/30/2020,Review 6                        ,99,40,0
10/1/2020,Review 7                        ,99,41,0
10/2/2020,Numbers 1 and 7                 ,100,41,0
10/5/2020,Numbers 4 and 8                 ,100,41,20
10/6/2020,Numbers 5 and 9                 ,100,40,0
10/7/2020,Review 7                        ,93,26,0
10/7/2020,Numbers 3 and 0                 ,100,38,1
10/8/2020,Numbers 2 and 6                 ,100,38,21
10/9/2020,Evaluate Speed                  ,99,48,1
10/12/2020,Letters 1                       ,100,51,0
10/13/2020,Letters 2                       ,100,46,1
10/14/2020,Review Numbers                  ,100,43,5
10/15/2020,Evaluate Speed                  ,100,49,1
10/16/2020,Dollar Sign and Forward Slash   ,100,34,0
10/20/2020,Percent and Hyphen              ,100,36,0
10/22/2020,Open and Close Parentheses      ,100,37,0
10/27/2020,Evaluate Speed-05,99,54,0
10/28/2020,At Symbol and Asterisk,100,39,0
10/28/2020,Bible Verses 1-1,99,50,0
10/29/2020,All Symbols,100,36,0
10/30/2020,Review 2,99,46,0
11/2/2020,Review 5-1,99,45,0
11/3/2020,Bible Verses 2-1,100,54,0
11/4/2020,Evaluate Speed-06,100,50,0
11/5/2020,Bible Verses 1-2 WB,100,61,0
11/6/2020,Build Speed 1-1 WB,100,63,0
11/10/2020,Build Speed 2-1 WB,100,58,0
11/11/2020,Review 5-2 WB,100,61,0
11/12/2020,Bible Verses 2-2 WB,100,64,0
11/13/2020,Evaluate Speed-07 WB,100,66,0
11/16/2020,Bible Verses 1-3 WB,100,65,0
11/17/2020,Build Speed 1-2 WB,100,66,0
11/18/2020,Build Speed 2-2 WB,100,61,0
11/19/2020,Review 5-3 WB,100,63,0
11/20/2020,Bible Verses 2-3 WB,100,68,2
11/23/2020,Evaluate Speed-08 WB,100,67,0
11/30/2020,Bible Verses 1-4 WB,100,67,0
12/1/2020,Build Speed 1-3 WB,100,72,0
12/2/2020,Build Speed 2-3 WB,100,65,0
12/3/2020,Review 5-4 WB,100,66,0
12/4/2020,Bible Verses 2-4 WB,100,69,0
12/7/2020,Evaluate Speed-09 WB,100,71,0
12/8/2020,Bible Verses 1-5 WB,100,72,11
12/10/2020,Build Speed 1-4 WB,100,74,0
12/11/2020,Build Speed 2-4 WB,100,67,0
12/14/20,Review 5-5 WB,100.0,65.0,0
12/15/20,Bible Verses 2-5 WB,100.0,72.0,0
12/16/20,Evaluate Speed-10 WB,100.0,73.0,0
12/17/20,Evaluate Speed-11 WB,100.0,77.0,0
12/18/20,Review 5-5 WB,100.0,69.0,0
