Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,95.4,28,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,98.6,37,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.4,26,0
Scripture - 3 Min - Novice - Psalm 23,96.3,27,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.4,33,0
Scripture - 5 Min - Novice - Psalm 51,96.3,27,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.4,25,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,95.0,23,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.6,22,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,93.4,21,0
