Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,96.7,38,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,93.1,29,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,91.5,19,0
Scripture - 3 Min - Novice - Psalm 23,95.4,29,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.3,26,0
Scripture - 5 Min - Novice - Psalm 51,90.7,16,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,95.5,29,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.1,25,0
Scripture - 5 Min - Novice - Psalm 51,96.1,30,1
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,95.7,27,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,95.4,28,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,96.8,29,0
