Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,96.6,38,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.3,32,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,93.6,23,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,95.9,29,0
Scripture - 3 Min - Novice - Psalm 23,94.2,25,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,94.2,25,0
Scripture - 5 Min - Advanced - Selections 1,94.2,19,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.6,32,0
Scripture - 5 Min - Advanced - Selections 1,96.6,23,6
Scripture - 3 Min - Novice - Psalm 23,97.6,33,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,96.1,27,0
