Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,96.3,19,0
Day 29 - Part 3 - Learn Forward Slash,93.8,13,1
Day 30 - Part 2 - Learn Percent Sign,94.4,17,0
Day 30 - Part 3 - Learn Hyphen,96.8,18,0
Day 31 - Part 3 - Learn Number Sign,90.9,12,0
Day 31 - Part 4 - Learn Ampersand,93.5,17,0
Day 32 - Part 3 - Learn Open Parentheses,93.6,19,0
Day 32 - Part 4 - Learn Close Parentheses,92.9,15,0
Day 33 - Part 1 - Learn At Symbol,92.1,14,0
Day 33 - Part 2 - Learn Asterisk,97.1,22,0
Day 31 - Part 3 - Learn Number Sign,94.1,18,0
Day 33 - Part 1 - Learn At Symbol,95.5,22,0
