Lesson,Accuracy,WPM,IdleTime

Day 20 - Part 1,81,12,1
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,96,31,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,89,17,0
Day 20 - Part 1,91,23,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,89,21,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,88,27,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,94,18,0
Day 20 - Part 1,100,17,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99,28,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100,36,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100,39,0
