Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,97.2,35,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.3,44,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,94.4,28,0
Scripture - 3 Min - Novice - Psalm 23,95.1,33,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.7,32,0
Scripture - 5 Min - Novice - Psalm 51,94.3,31,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,93.4,29,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.9,33,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,96.7,39,0
Scripture - 5 Min - Novice - Psalm 51,95.5,33,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,96.8,35,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,94.0,32,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,97.7,42,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,94.4,32,0
