Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,93.3,28,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,92.3,25,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,91.9,25,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,95.2,37,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,92.9,27,0
Scripture - 3 Min - Novice - Psalm 46,93.6,31,0
Scripture - 5 Min - Novice - Isaiah 53,94.9,30,0
Scripture - 5 Min - Novice - John 1 v 1-18,96.4,41,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,95.5,41,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.2,41,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,94.9,34,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,96.2,36,0
Scripture - 3 Min - Novice - Psalm 46,95.5,38,0
Scripture - 5 Min - Novice - Isaiah 53,96.1,37,0
