Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,100.0,51,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,100.0,50,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,99.8,47,0
Scripture - 3 Min - Novice - Psalm 23,100.0,43,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.7,46,0
Scripture - 5 Min - Novice - Psalm 51,100.0,47,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,100.0,49,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,99.9,47,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.9,48,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,44,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,100.0,51,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.7,52,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.9,49,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,47,0
