Lesson,Accuracy,WPM,IdleTime

Day 20 - Part 1,100.0,45,0
Day 20 - Part 2,99.6,39,0
Day 20 - Part 3,100.0,36,0
Day 20 - Part 4,99.6,38,0
Day 20 - Part 5,100.0,39,0
Day 20 - Part 6,100.0,43,0
Day 20 - Part 7,100.0,43,0
Day 20 - Part 8,100.0,48,0
Day 20 - Part 9,100.0,40,0
Day 20 - Part 4,100.0,38,0
Day 20 - Part 2,100.0,45,0
Day 20 - Part 3,100.0,35,0
Day 20 - Part 3,100.0,43,0
Day 20 - Part 4,99.6,48,0
Day 20 - Part 4,100.0,51,0
Day 20 - Part 5,100.0,42,0
Day 20 - Part 9,100.0,41,0
Day 20 - Part 9,100.0,37,0
Day 20 - Part 9,100.0,44,0
Day 20 - Part 5,99.6,38,0
Day 20 - Part 1,100.0,42,0
Day 20 - Part 7,100.0,36,0
Day 20 - Part 2,100.0,44,0
Day 20 - Part 5,100.0,44,0
Day 20 - Part 4,100.0,51,0
Day 20 - Part 4,100.0,48,0
Day 20 - Part 3,100.0,35,0
