Lesson,Accuracy,WPM,IdleTime

Three Minute File 17,95.0,33,1
Three Minute File 18,98.0,41,0
Three Minute File 20,97.0,41,0
Three Minute File 24,98.0,44,0
Three Minute File 25,98.0,43,0
Three Minute File 26,97.0,40,0
Three Minute File 27,98.0,43,0
Scripture - 3 Min - Novice - Psalm 46,98.0,43,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,98.0,44,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,95.0,34,0
Three Minute File 17,97.0,40,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,97.0,38,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,96.0,37,0
