Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 1,98.0,49,0
Day 23 - Part 2 - Learn 1,99.0,42,0
Day 23 - Part 3 - Learn 7,94.0,26,0
Day 23 - Part 4,98.0,39,0
Day 23 - Part 5,97.0,42,1
Day 23 - Part 6,99.0,54,0
Day 23 - Part 3 - Learn 7,98.0,41,0
Day 23 - Part 5,98.0,50,0
Day 23 - Part 4,97.0,38,1
Day 23 - Part 4,97.0,40,0
Day 23 - Part 4,97.0,38,0
Day 23 - Part 4,97.0,43,0
Day 23 - Part 4,98.0,40,0
Day 23 - Part 4,97.0,41,0
Day 23 - Part 4,99.0,46,0
Day 23 - Part 3 - Learn 7,99.0,44,0
Day 23 - Part 1,98.0,49,2
Day 23 - Part 1,98.0,51,0
