Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,96.1,47,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.7,65,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,99.8,40,0
Scripture - 3 Min - Novice - Psalm 23,99.4,48,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,98.2,47,0
Scripture - 5 Min - Novice - Psalm 51,97.5,45,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,97.4,44,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,98.0,47,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,56,0
