Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,97.6,25,0
Day 29 - Part 3 - Learn Forward Slash,95.4,26,0
Day 30 - Part 2 - Learn Percent Sign,96.8,27,0
Day 30 - Part 3 - Learn Hyphen,98.8,32,0
Day 31 - Part 3 - Learn Number Sign,99.2,28,0
Day 31 - Part 4 - Learn Ampersand,96.8,26,0
Day 32 - Part 3 - Learn Open Parentheses,98.7,38,0
Day 32 - Part 4 - Learn Close Parentheses,96.9,30,0
Day 33 - Part 1 - Learn At Symbol,98.2,32,0
Day 33 - Part 2 - Learn Asterisk,98.2,31,0
Day 29 - Part 3 - Learn Forward Slash,100.0,36,0
Day 31 - Part 4 - Learn Ampersand,97.2,28,0
Day 30 - Part 2 - Learn Percent Sign,98.4,25,0
Day 32 - Part 4 - Learn Close Parentheses,99.4,29,0
Day 31 - Part 4 - Learn Ampersand,100.0,25,1
Day 33 - Part 2 - Learn Asterisk,99.3,31,0
