Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.6,50,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.3,54,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,99.7,60,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,93.9,36,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,98.9,44,0
Scripture - 3 Min - Novice - Psalm 46,99.2,42,0
Scripture - 5 Min - Novice - Isaiah 53,93.8,30,0
Scripture - 5 Min - Novice - John 1 v 1-18,92.3,20,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,49,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,49,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,55,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,99.4,43,0
Scripture - 5 Min - Novice - John 1 v 1-18,99.0,41,0
Scripture - 5 Min - Novice - Isaiah 53,99.1,42,0
