Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,99,36,0
9/24/2020,Review 3                        ,97,45,0
9/28/2020,Evaluate Speed,96,46,2
9/29/2020,Review 5                        ,97,37,1
9/30/2020,Review 6                        ,98,42,1
10/1/2020,Review 7                        ,96,38,3
10/2/2020,Numbers 1 and 7                 ,99,48,4
10/5/2020,Numbers 4 and 8                 ,99,47,1
10/7/2020,Numbers 3 and 0                 ,99,42,4
10/8/2020,Numbers 2 and 6                 ,100,44,59
10/9/2020,Evaluate Speed,94,48,0
10/14/2020,Review Numbers                  ,99,43,5
10/15/2020,Evaluate Speed                  ,99,49,0
10/16/2020,Dollar Sign and Forward Slash   ,99,33,1
10/20/2020,Percent and Hyphen              ,100,32,0
10/22/2020,Open and Close Parentheses      ,99,32,1
10/23/2020,Symbol and Asterisk             ,100,35,0
10/27/2020,Evaluate Speed-05,99,48,0
10/28/2020,Bible Verses 1-1,99,48,0
10/29/2020,All Symbols,99,30,3
10/30/2020,Review 2,98,39,1
11/2/2020,Review 5-1            ,97,41,0
11/3/2020,Bible Verses 2-1,100,46,0
11/4/2020,Evaluate Speed-06,100,47,2
11/5/2020,Bible Verses 1-2 WB,100,58,0
11/6/2020,Build Speed 1-1 WB,100,56,0
11/10/2020,Build Speed 2-1 WB,100,55,0
11/11/2020,Review 5-2 WB,100,53,0
11/12/2020,Bible Verses 2-2 WB,100,57,0
11/13/2020,Evaluate Speed-07 WB,100,60,1
11/29/2020,Bible Verses 1-3 WB,100,55,0
11/29/2020,Build Speed 1-2 WB,100,52,0
11/29/2020,Build Speed 2-2 WB,100,51,0
11/29/2020,Review 5-3 WB,100,49,0
11/29/2020,Bible Verses 2-3 WB,100,49,5
11/30/20,Bible Verses 1-4 WB,100.0,59.0,0
12/01/20,Build Speed 1-3 WB,100.0,58.0,0
12/01/20,Evaluate Speed-08 WB,100.0,58.0,0
12/02/20,Build Speed 2-3 WB,100.0,59.0,1
12/03/20,Review 5-4 WB,100.0,56.0,0
12/04/20,Bible Verses 2-4 WB,100.0,60.0,2
12/07/20,Evaluate Speed-09 WB,100.0,60.0,0
12/08/20,Bible Verses 1-5 WB,100.0,59.0,0
12/10/20,Build Speed 1-4 WB,100.0,62.0,3
12/11/20,Build Speed 2-4 WB,100.0,56.0,3
12/14/20,Review 5-5 WB,100.0,55.0,1
12/15/20,Bible Verses 2-5 WB,100.0,58.0,0
12/16/20,Evaluate Speed-10 WB,100.0,61.0,32
12/17/20,Evaluate Speed-11 WB,100.0,54.0,3
12/18/20,Build Speed 2-4 WB,100.0,58.0,2
