Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 4,95.5,16,0
Day 30 - Part 1,96.8,28,0
Day 30 - Part 2 - Learn Percent Sign,94.4,14,0
Day 30 - Part 3 - Learn Hyphen,99.2,30,0
Day 30 - Part 4,98.8,35,0
Day 30 - Part 5,97.6,35,0
Day 30 - Part 2 - Learn Percent Sign,96.0,18,0
Day 29 - Part 4,96.3,19,0
Day 30 - Part 2 - Learn Percent Sign,96.8,17,0
Day 29 - Part 4,99.2,20,0
Day 30 - Part 2 - Learn Percent Sign,97.2,17,0
Day 30 - Part 2 - Learn Percent Sign,98.0,19,0
Day 30 - Part 1,98.4,30,0
Day 30 - Part 2 - Learn Percent Sign,96.4,16,0
