Lesson,Accuracy,WPM,IdleTime

Day 32 - Part 5,98.4,25,0
Day 33 - Part 3,98.8,48,0
Day 34 - Part 1 - Learn Exclamation Point,97.6,30,0
Day 34 - Part 2 - Learn Less Than,99.0,32,0
Day 34 - Part 3 - Learn Greater Than,97.7,28,0
Day 34 - Part 1 - Learn Exclamation Point,96.6,30,0
Day 34 - Part 1 - Learn Exclamation Point,99.0,34,0
Day 34 - Part 3 - Learn Greater Than,96.1,25,0
Day 34 - Part 3 - Learn Greater Than,98.6,36,0
Day 32 - Part 5,98.4,25,0
Day 32 - Part 5,97.5,23,0
Day 32 - Part 5,97.8,24,0
Day 32 - Part 5,98.1,23,0
