Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,97.3,44,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.5,41,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,98.2,45,0
Scripture - 3 Min - Novice - Psalm 23,96.8,37,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.8,38,0
Scripture - 5 Min - Novice - Psalm 51,96.9,39,0
Scripture - 5 Min - Novice - 1 John 4 v 7-17,98.1,43,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,96.4,39,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,97.5,41,0
Scripture - 3 Min - Novice - Psalm 23,98.8,47,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,96.9,39,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,99.0,46,0
Scripture - 5 Min - Novice - Psalm 51,98.4,42,0
Scripture - 1 Min - Novice - John 3 v 16,98.8,44,0
Scripture - 1 Min - Novice - Hebrews 11 v 1,99.3,54,0
Scripture - 5 Min - Novice - Philippians 2 v 1-11,62.9,-88,0
