Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,97.6,23,0
Day 29 - Part 3 - Learn Forward Slash,98.8,24,0
Day 30 - Part 2 - Learn Percent Sign,96.8,21,0
Day 30 - Part 3 - Learn Hyphen,95.3,20,0
Day 31 - Part 3 - Learn Number Sign,97.6,24,0
Day 31 - Part 4 - Learn Ampersand,98.0,26,0
Day 32 - Part 3 - Learn Open Parentheses,95.7,19,0
Day 32 - Part 4 - Learn Close Parentheses,97.2,23,0
Day 33 - Part 1 - Learn At Symbol,97.3,25,0
Day 33 - Part 2 - Learn Asterisk,96.4,23,0
Day 30 - Part 3 - Learn Hyphen,98.4,31,0
Day 32 - Part 3 - Learn Open Parentheses,97.4,25,0
Day 33 - Part 2 - Learn Asterisk,98.6,27,0
Day 30 - Part 2 - Learn Percent Sign,98.4,25,0
Day 32 - Part 4 - Learn Close Parentheses,98.3,26,0
Day 33 - Part 1 - Learn At Symbol,97.9,27,0
Day 32 - Part 3 - Learn Open Parentheses,98.3,29,0
Day 29 - Part 2 - Learn Dollar Sign,97.6,22,0
