Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.8,44,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,97.0,38,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,96.2,36,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,98.4,42,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,98.2,42,0
Scripture - 3 Min - Novice - Psalm 46,100.0,46,0
Scripture - 5 Min - Novice - Isaiah 53,98.2,42,0
Scripture - 5 Min - Novice - John 1 v 1-18,98.4,44,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,99.6,50,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,47,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,99.0,44,0
Scripture - 5 Min - Novice - Isaiah 53,98.0,43,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.4,46,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.0,43,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,48,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,99.6,47,0
