Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,59,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,57,0
Scripture - 1 Min - Novice - Acts 2 v 1-4,100.0,61,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,49,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,52,0
Scripture - 3 Min - Novice - Psalm 46,99.7,51,0
Scripture - 5 Min - Novice - Isaiah 53,100.0,54,0
Scripture - 5 Min - Novice - John 1 v 1-18,100.0,51,0
Scripture - 3 Min - Novice - Psalm 46,100.0,54,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,99.9,46,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,51,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,99.9,49,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,100.0,58,0
Scripture - 3 Min - Novice - Romans 5 v 1-8,100.0,53,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,100.0,50,0
Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,55.1,-152,0
