Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,93,36,1
9/24/2020,Review 3                        ,97,39,0
9/28/2020,Evaluate Speed,93,42,1
10/2/2020,Numbers 1 and 7                 ,99,35,0
10/14/2020,Review Numbers                  ,98,37,1
10/15/2020,Evaluate Speed,98,44,3
10/16/2020,Dollar Sign and Forward Slash   ,98,28,13
10/20/2020,Percent and Hyphen,98,28,0
10/22/2020,Open and Close Parentheses      ,97,25,1
10/23/2020,Symbol and Asterisk,98,28,0
10/26/2020,Excalmation & Greater & Less Than,99,35,0
10/27/2020,Evaluate Speed-05,98,45,0
10/28/2020,Bible Verses 1-1,98,43,1
10/29/2020,All Symbols,98,26,0
10/30/2020,Review 2,98,42,74
11/2/2020,Review 5-1,97,39,0
11/3/2020,Bible Verses 2-1,99,45,0
11/4/2020,Evaluate Speed-06,98,52,0
11/4/2020,Evaluate Speed-06,98,46,0
11/5/2020,Bible Verses 1-2 WB,100,49,0
11/6/2020,Build Speed 1-1 WB,100,46,0
11/10/2020,Build Speed 2-1 WB,100,43,0
11/11/2020,TestyThingamabob,100,57,0
11/11/2020,Review 5-2 WB,100,46,0
11/12/2020,Bible Verses 2-2 WB,100,52,2
11/13/2020,Evaluate Speed-07 WB,100,55,0
11/16/2020,Bible Verses 1-3 WB,100,55,0
11/17/2020,Build Speed 1-2 WB,100,53,0
11/18/2020,Build Speed 2-2 WB,100,49,0
11/19/2020,Review 5-3 WB,100,49,0
11/20/2020,Bible Verses 2-3 WB,100,54,0
11/23/2020,Evaluate Speed-08 WB,100,56,0
11/30/2020,Bible Verses 1-4 WB,100,53,0
12/1/2020,Build Speed 1-3 WB,100,57,0
12/2/2020,Build Speed 2-3 WB,100,50,0
12/3/2020,Review 5-4 WB,100,49,0
12/4/2020,Bible Verses 2-4 WB,100,54,1
12/7/2020,Evaluate Speed-09 WB,100,55,0
12/8/2020,Bible Verses 1-5 WB,100,54,1
12/10/2020,Build Speed 1-4 WB,100,53,3
12/11/20,Build Speed 2-4 WB,100.0,51.0,2
12/14/20,Review 5-5 WB,100.0,47.0,0
12/15/20,Bible Verses 2-5 WB,100.0,55.0,0
12/16/20,Evaluate Speed-10 WB,100.0,56.0,0
12/17/20,Evaluate Speed-11 WB,100.0,56.0,0
12/18/20,Review 5-5 WB,100.0,53.0,1
