Lesson,Accuracy,WPM,IdleTime

Day 29 - Part 2 - Learn Dollar Sign,98.8,19,0
Day 29 - Part 3 - Learn Forward Slash,96.7,17,0
Day 30 - Part 2 - Learn Percent Sign,98.8,20,0
Day 30 - Part 3 - Learn Hyphen,98.4,23,0
Day 31 - Part 3 - Learn Number Sign,98.8,21,0
Day 31 - Part 4 - Learn Ampersand,96.8,18,0
Day 32 - Part 3 - Learn Open Parentheses,96.6,20,0
Day 32 - Part 4 - Learn Close Parentheses,97.5,22,0
Day 33 - Part 1 - Learn At Symbol,95.8,17,0
Day 33 - Part 2 - Learn Asterisk,96.4,18,0
Day 33 - Part 1 - Learn At Symbol,96.1,18,0
Day 33 - Part 1 - Learn At Symbol,95.8,17,0
Day 33 - Part 1 - Learn At Symbol,96.1,16,0
Day 33 - Part 1 - Learn At Symbol,96.1,20,0
